name,status,img,established,lat,lon,locality,zipcode,location_type,is_closed,street,region,in_planning,is_primary
2nd Story Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/vdEZ9j/upload_fq17DZ-icon.png,,39.9484739,-75.1435556,Philadelphia,19106,Brewpub,N,117 Chestnut St.,Pennsylvania,N,N
2SP Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/VBusEz/upload_gKhoJB-icon.png,,39.8554651,-75.4036331,Aston,19014,Micro Brewery,N,120 Concord Rd.,Pennsylvania,N,N
3 Beards Beer Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Ya599O/upload_eZyZLE-icon.png,2010.0,42.2022941,-72.6046857,Holyoke,01532,Micro Brewery,N,189 W Main St,Massachusetts,N,Y
3 Daughters Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/7i2zEQ/upload_sKYeVG-icon.png,,27.769051,-82.6627049,Saint Petersburg,33712,Micro Brewery,N,222 22nd Street South,Florida,N,Y
3 Freaks Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/WFl75R/upload_uA3PJN-icon.png,,39.5649037,-104.9059419,Highlands Ranch,80126,Micro Brewery,N,7140 E County Line Rd,Colorado,N,Y
3 Guys and a Beer'd Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/YMxo1d/upload_3GTpkk-icon.png,2012.0,41.5792865,-75.5015333,Carbondale,18407,Micro Brewery,N,10 Enterprise Drive,Pennsylvania,N,Y
3 Herons Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/CVl8by/upload_L1jU7s-icon.png,,42.556589,-76.681616,Trumansburg,14886,Brewpub,Y,9632 Route 96,,N,Y
3 Iron Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/orNo5d/upload_TsVxhz-icon.png,2013.0,34.0739016,-117.3136547,Colton,92324,Micro Brewery,N,898 South Vía Lata,California,N,Y
3 Keys Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/PQZ8Qz/upload_t30GvK-icon.png,,27.496948,-82.532731,Bradenton,34208,Micro Brewery,N,2505 Manatee Ave E,Florida,N,Y
3 Nations Brewing Co.,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/z9z8Z4/upload_RT3F8p-icon.png,,32.9310392,-96.8983269,Farmers Branch,,Micro Brewery,N,2405 Squire Pl,Texas,N,Y
3 Ravens Brewing,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/ul5arW/upload_pYVFH1-icon.png,2003.0,-37.755777,145.026887,Thornbury,3071,Micro Brewery,N,1 Theobald Street,Victoria,N,Y
3 Sheeps Brewing Co,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/Hw7H52/upload_QJdBdz-icon.png,2012.0,43.7593533,-87.7225872,Sheboygan,53081,Micro Brewery,N,1327 Huron Ave,Wisconsin,N,Y
3 Sons Brewing Co.,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/rQyZpE/upload_Vv3vUr-icon.png,,26.052311,-80.1439343,Dania Beach,,Micro Brewery,N,,Florida,Y,Y
